epoch,acc,iou,loss,lr,precision_2,recall_2
0,0.9483782649040222,0.1589168757200241,0.13690362870693207,1e-04,0.048740044236183167,0.01357563491910696
1,0.962848424911499,0.27407902479171753,0.06051917001605034,1e-04,0.0,0.0
2,0.9707894921302795,0.35148361325263977,0.04879021272063255,1e-04,0.813963770866394,0.34906017780303955
3,0.9872665405273438,0.3861309587955475,0.04399016499519348,1e-04,0.8561980128288269,0.8322960734367371
4,0.989636242389679,0.3982201814651489,0.040339574217796326,1e-04,0.8725989460945129,0.8657607436180115
5,0.9887061715126038,0.388854444026947,0.040139660239219666,1e-04,0.8625335693359375,0.8354336619377136
6,0.9912298321723938,0.4164747893810272,0.03882453590631485,1e-04,0.8939176797866821,0.88994961977005
7,0.9927685260772705,0.43359827995300293,0.03508901968598366,1e-04,0.902865469455719,0.9136879444122314
8,0.9926716685295105,0.43163061141967773,0.03548348322510719,1e-04,0.907883882522583,0.9047450423240662
9,0.9928039312362671,0.4374551475048065,0.035445310175418854,1e-04,0.9036547541618347,0.9184261560440063
10,0.9931350946426392,0.43955740332603455,0.03455657884478569,1e-04,0.904595673084259,0.9231124520301819
11,0.9912190437316895,0.4200638234615326,0.036999791860580444,1e-04,0.8831117153167725,0.8922333121299744
12,0.993320107460022,0.44509097933769226,0.03497767075896263,1e-04,0.9083350300788879,0.9292272329330444
13,0.9939597845077515,0.4507744312286377,0.03384598717093468,1e-04,0.9202415347099304,0.9305016994476318
14,0.9942148923873901,0.4513675272464752,0.032553866505622864,1e-04,0.9220104813575745,0.9277983903884888
15,0.9930989742279053,0.445321261882782,0.03374452143907547,1e-04,0.9009943008422852,0.9237707853317261
16,0.9942018985748291,0.45902425050735474,0.03298105672001839,1e-04,0.9144585132598877,0.9420585632324219
17,0.9944989681243896,0.4619213044643402,0.03234250470995903,1e-04,0.9258975386619568,0.9359997510910034
18,0.9950585961341858,0.46962153911590576,0.032519638538360596,1e-04,0.9359449744224548,0.9431601762771606
19,0.9947011470794678,0.46162697672843933,0.03201788663864136,1e-04,0.9260568618774414,0.9410216808319092
20,0.9949990510940552,0.4693920910358429,0.03159048408269882,1e-04,0.9306373000144958,0.9440353512763977
21,0.9948493838310242,0.4723394513130188,0.03175747022032738,1e-04,0.9275371432304382,0.9463493824005127
22,0.995223343372345,0.47388216853141785,0.02984306588768959,1e-04,0.9286528825759888,0.9471937417984009
23,0.9952018857002258,0.47875744104385376,0.03150710090994835,1e-04,0.9342405200004578,0.9483532309532166
24,0.9957163333892822,0.48233094811439514,0.030333058908581734,1e-04,0.9443113207817078,0.9484499096870422
25,0.9944442510604858,0.4733732044696808,0.03156113997101784,1e-04,0.9178419709205627,0.942343533039093
26,0.9945635199546814,0.4797302186489105,0.030743831768631935,1e-04,0.9137054681777954,0.9523317217826843
27,0.9959704279899597,0.49053776264190674,0.02960183098912239,1e-05,0.9407916069030762,0.9583568572998047
28,0.9961203932762146,0.49126535654067993,0.028785428032279015,1e-05,0.9470643401145935,0.9533305764198303
29,0.9960574507713318,0.4924071729183197,0.02935304492712021,1e-05,0.943490743637085,0.9587510824203491
30,0.996386706829071,0.4940117597579956,0.02899368293583393,1e-05,0.9544134736061096,0.9544823169708252
31,0.9964039921760559,0.49598562717437744,0.028536949306726456,1e-05,0.9503769278526306,0.9580203294754028
32,0.9960373044013977,0.49381017684936523,0.029576187953352928,1e-05,0.943881094455719,0.958637535572052
33,0.9966615438461304,0.5000597238540649,0.028854496777057648,1e-05,0.95725417137146,0.9597579836845398
34,0.9965735673904419,0.49948930740356445,0.029538918286561966,1e-05,0.9541000723838806,0.9625791907310486
35,0.9965134263038635,0.49478679895401,0.026403551921248436,1e-05,0.9457080364227295,0.9585130214691162
36,0.9966058731079102,0.5007530450820923,0.029163014143705368,1e-05,0.9535649418830872,0.9632418751716614
37,0.9964864253997803,0.5010929703712463,0.029294747859239578,1e-05,0.9523241519927979,0.9618775844573975
38,0.9965770840644836,0.49945908784866333,0.02796573005616665,1e-05,0.9512488842010498,0.9609582424163818
39,0.9967917799949646,0.502927839756012,0.028720246627926826,1e-05,0.9567602872848511,0.96402907371521
40,0.99644535779953,0.49985530972480774,0.028471168130636215,1e-06,0.9445258378982544,0.9666159152984619
41,0.9966520071029663,0.5016497373580933,0.02780250273644924,1e-06,0.9492632150650024,0.9652634263038635
42,0.9966852068901062,0.500396728515625,0.028352735564112663,1e-06,0.9531269073486328,0.9636257886886597
43,0.9969251751899719,0.5043550133705139,0.028639914467930794,1e-06,0.9623013138771057,0.9615001082420349
44,0.9968488812446594,0.5014882683753967,0.028969433158636093,1e-07,0.9550443887710571,0.9681117534637451
45,0.9965378046035767,0.49956610798835754,0.027916278690099716,1e-07,0.9450746178627014,0.9667006731033325
